image_id;tma_number;roll;frame;view_direction;altitude;azimuth;date_year;date_month;date_day;cam_id;location
CA194731L0110;1947;31L;110;L;25000;2.787;1966;12;29;32;peninsula
CA181832V0065;1818;32V;65;V;20700;1.109;1966;0;0;32;peninsula
CA196232V0017;1962;32V;17;V;26000;251.517;1967;1;7;32;peninsula
CA184533R0213;1845;33R;213;R;19200;2.909;1966;12;27;32;peninsula
CA184531L0199;1845;31L;199;L;19200;2.909;1966;12;27;32;peninsula
CA212332V0044;2123;32V;44;V;;2.855;1968;11;18;32;peninsula
CA182631L0063;1826;31L;63;L;20380;1.133;1966;12;18;32;peninsula
CA183333R0136;1833;33R;136;R;20380;1.110;1966;12;18;32;peninsula
CA184932V0256;1849;32V;256;V;19200;2.837;1966;12;27;32;peninsula
CA180931L0089;1809;31L;89;L;20000;2.926;1966;0;0;32;peninsula
CA184333R0077;1843;33R;77;R;19200;1.108;1966;12;27;32;peninsula
CA199331L0186;1993;31L;186;L;25000;2.932;1967;1;5;32;peninsula
CA181633R0132;1816;33R;132;R;16000;1.120;1966;0;0;32;peninsula
CA207531L0366;2075;31L;366;L;;2.799;1967;12;0;32;peninsula
CA183533R0018;1835;33R;18;R;20500;3.598;1966;11;28;32;peninsula
CA207531L0361;2075;31L;361;L;;2.799;1967;12;0;32;peninsula
CA214231L0185;2142;31L;185;L;;2.967;1968;12;23;32;peninsula
CA181832V0060;1818;32V;60;V;20700;1.109;1966;0;0;32;peninsula
CA181232V0065;1812;32V;65;V;20340;2.867;1966;12;18;32;peninsula
CA196232V0049;1962;32V;49;V;26000;251.517;1967;1;7;32;peninsula
CA181032V0173;1810;32V;173;V;18000;1.071;1966;0;0;32;peninsula
CA181731L0001;1817;31L;1;L;20700;2.877;1966;0;0;32;peninsula
CA182132V0006;1821;32V;6;V;16000;2.849;1966;11;18;32;peninsula
CA164433R0053;1644;33R;53;R;25000;2.058;1965;2;18;32;peninsula
CA184933R0283;1849;33R;283;R;19200;2.837;1966;12;27;32;peninsula
CA183231L0068;1832;31L;68;L;20360;2.841;1966;12;18;32;peninsula
CA212131L0022;2121;31L;22;L;;2.908;1968;11;23;32;peninsula
CA181331L0098;1813;31L;98;L;20000;1.118;1966;0;0;32;peninsula
CA207331L0075;2073;31L;75;L;;2.870;1967;12;0;32;peninsula
CA184632V0292;1846;32V;292;V;19200;1.111;1966;12;27;32;peninsula
CA512332V0005;5123;32V;5;V;10000;3.403;1947;1;24;32;marie_byrd_land
CA182233R0080;1822;33R;80;R;20500;1.810;1966;11;23;32;peninsula
CA184531L0200;1845;31L;200;L;19200;2.909;1966;12;27;32;peninsula
CA184533R0245;1845;33R;245;R;19200;2.909;1966;12;27;32;peninsula
CA207333R0109;2073;33R;109;R;;2.870;1967;12;0;32;peninsula
CA184332V0079;1843;32V;79;V;19200;1.108;1966;12;27;32;peninsula
CA196233R0009;1962;33R;9;R;26000;251.517;1967;1;7;32;peninsula
CA164431L0056;1644;31L;56;L;25000;2.058;1965;2;18;32;peninsula
CA216533R0257;2165;33R;257;R;;2.883;1969;1;12;32;peninsula
CA184633R0315;1846;33R;315;R;19200;1.111;1966;12;27;32;peninsula
CA196733R0090;1967;33R;90;R;26000;1.079;1967;1;7;32;peninsula
CA181531L0011;1815;31L;11;L;23300;1.121;1966;0;0;32;peninsula
CA196732V0089;1967;32V;89;V;26000;1.079;1967;1;7;32;peninsula
CA181831L0048;1818;31L;48;L;20700;1.109;1966;0;0;32;peninsula
CA181032V0172;1810;32V;172;V;18000;1.071;1966;0;0;32;peninsula
CA213531L0310;2135;31L;310;L;;1.590;1968;12;20;32;peninsula
CA196731L0086;1967;31L;86;L;26000;1.079;1967;1;7;32;peninsula
CA212131L0067;2121;31L;67;L;;2.908;1968;11;23;32;peninsula
CA181631L0085;1816;31L;85;L;16000;1.120;1966;0;0;32;peninsula
CA184731L0077;1847;31L;77;L;19200;2.916;1966;12;27;32;peninsula
CA183331L0004;1833;31L;4;L;20380;1.110;1966;12;18;32;peninsula
CA180133R0097;1801;33R;97;R;;1.139;1966;0;0;32;peninsula
CA207531L0314;2075;31L;314;L;;2.799;1967;12;0;32;peninsula
CA196933R0157;1969;33R;157;R;26000;1.111;1967;1;7;32;peninsula
CA174733R0185;1747;33R;185;R;24000;1.144;1966;1;28;32;peninsula
CA180132V0159;1801;32V;159;V;;1.139;1966;0;0;32;peninsula
CA183231L0012;1832;31L;12;L;20360;2.841;1966;12;18;32;peninsula
CA181333R0191;1813;33R;191;R;20000;1.118;1966;0;0;32;peninsula
CA196933R0177;1969;33R;177;R;26000;1.111;1967;1;7;32;peninsula
CA180133R0143;1801;33R;143;R;;1.139;1966;0;0;32;peninsula
CA216332V0173;2163;32V;173;V;;2.897;1968;0;0;32;peninsula
CA171932V0103;1719;32V;103;V;25000;668.170;1966;10;5;32;marie_byrd_land
CA180932V0120;1809;32V;120;V;20000;2.926;1966;0;0;32;peninsula
CA184431L0144;1844;31L;144;L;19200;1.122;1966;12;27;32;peninsula
CA183232V0066;1832;32V;66;V;20360;2.841;1966;12;18;32;peninsula
CA181232V0059;1812;32V;59;V;20340;2.867;1966;12;18;32;peninsula
CA180531L0010;1805;31L;10;L;;1.048;1966;0;0;32;peninsula
CA164431L0087;1644;31L;87;L;25000;2.058;1965;2;18;32;peninsula
CA212132V0034;2121;32V;34;V;;2.908;1968;11;23;32;peninsula
CA180132V0142;1801;32V;142;V;;1.139;1966;0;0;32;peninsula
CA181632V0179;1816;32V;179;V;16000;1.120;1966;0;0;32;peninsula
CA181432V0002;1814;32V;2;V;23300;2.890;1966;0;0;32;peninsula
CA184832V0165;1848;32V;165;V;19200;1.116;1966;12;27;32;peninsula
CA182533R0015;1825;33R;15;R;20380;2.925;1966;12;18;32;peninsula
CA174832V0295;1748;32V;295;V;24000;2.942;1966;1;28;32;peninsula
CA181831L0012;1818;31L;12;L;20700;1.109;1966;0;0;32;peninsula
CA196631L0030;1966;31L;30;L;26000;2.899;1967;1;7;32;peninsula
CA183532V0044;1835;32V;44;V;20500;3.598;1966;11;28;32;peninsula
CA180131L0089;1801;31L;89;L;;1.139;1966;0;0;32;peninsula
CA181832V0062;1818;32V;62;V;20700;1.109;1966;0;0;32;peninsula
CA216133R0081;2161;33R;81;R;;2.909;1969;1;8;32;peninsula
CA181532V0018;1815;32V;18;V;23300;1.121;1966;0;0;32;peninsula
CA216133R0054;2161;33R;54;R;;2.909;1969;1;8;32;peninsula
CA207531L0306;2075;31L;306;L;;2.799;1967;12;0;32;peninsula
CA212132V0027;2121;32V;27;V;;2.908;1968;11;23;32;peninsula
CA182731L0007;1827;31L;7;L;20380;2.934;1966;12;18;32;peninsula
CA216331L0160;2163;31L;160;L;;2.897;1968;0;0;32;peninsula
CA181332V0188;1813;32V;188;V;20000;1.118;1966;0;0;32;peninsula
CA183533R0017;1835;33R;17;R;20500;3.598;1966;11;28;32;peninsula
CA196331L0058;1963;31L;58;L;26000;1.051;1967;1;7;32;peninsula
CA182132V0108;1821;32V;108;V;16000;2.849;1966;11;18;32;peninsula
CA212131L0080;2121;31L;80;L;;2.908;1968;11;23;32;peninsula
CA171833R0066;1718;33R;66;R;25000;2.487;1966;10;5;32;marie_byrd_land
CA184832V0138;1848;32V;138;V;19200;1.116;1966;12;27;32;peninsula
CA181732V0013;1817;32V;13;V;20700;2.877;1966;0;0;32;peninsula
CA216631L0304;2166;31L;304;L;;1.117;1969;1;12;32;peninsula
CA174233R0081;1742;33R;81;R;25000;1.125;1966;1;29;32;peninsula
CA182633R0056;1826;33R;56;R;20380;1.133;1966;12;18;32;peninsula
CA182633R0120;1826;33R;120;R;20380;1.133;1966;12;18;32;peninsula
CA184931L0270;1849;31L;270;L;19200;2.837;1966;12;27;32;peninsula
CA181531L0045;1815;31L;45;L;23300;1.121;1966;0;0;32;peninsula
CA183332V0100;1833;32V;100;V;20380;1.110;1966;12;18;32;peninsula
CA182732V0047;1827;32V;47;V;20380;2.934;1966;12;18;32;peninsula
CA181231L0057;1812;31L;57;L;20340;2.867;1966;12;18;32;peninsula
CA214131L0087;2141;31L;87;L;;1.162;1968;12;23;32;peninsula
CA184631L0354;1846;31L;354;L;19200;1.111;1966;12;27;32;peninsula
CA184831L0114;1848;31L;114;L;19200;1.116;1966;12;27;32;peninsula
CA182932V0033;1829;32V;33;V;20150;2.851;1966;12;18;32;peninsula
CA180731L0034;1807;31L;34;L;20000;2.870;1966;0;0;32;peninsula
CA184832V0125;1848;32V;125;V;19200;1.116;1966;12;27;32;peninsula
CA207332V0075;2073;32V;75;V;;2.870;1967;12;0;32;peninsula
CA184831L0161;1848;31L;161;L;19200;1.116;1966;12;27;32;peninsula
CA184933R0190;1849;33R;190;R;19200;2.837;1966;12;27;32;peninsula
CA184931L0195;1849;31L;195;L;19200;2.837;1966;12;27;32;peninsula
CA182633R0077;1826;33R;77;R;20380;1.133;1966;12;18;32;peninsula
CA180033R0052;1800;33R;52;R;;2.925;1966;0;0;32;peninsula
CA184433R0114;1844;33R;114;R;19200;1.122;1966;12;27;32;peninsula
CA182131L0080;1821;31L;80;L;16000;2.849;1966;11;18;32;peninsula
CA216631L0324;2166;31L;324;L;;1.117;1969;1;12;32;peninsula
CA180731L0009;1807;31L;9;L;20000;2.870;1966;0;0;32;peninsula
CA214232V0180;2142;32V;180;V;;2.967;1968;12;23;32;peninsula
CA184431L0189;1844;31L;189;L;19200;1.122;1966;12;27;32;peninsula
CA184733R0002;1847;33R;2;R;19200;2.916;1966;12;27;32;peninsula
CA171832V0081;1718;32V;81;V;25000;2.487;1966;10;5;32;marie_byrd_land
CA183331L0095;1833;31L;95;L;20380;1.110;1966;12;18;32;peninsula
CA212132V0049;2121;32V;49;V;;2.908;1968;11;23;32;peninsula
CA164431L0046;1644;31L;46;L;25000;2.058;1965;2;18;32;peninsula
CA184432V0169;1844;32V;169;V;19200;1.122;1966;12;27;32;peninsula
CA182133R0065;1821;33R;65;R;16000;2.849;1966;11;18;32;peninsula
CA181633R0031;1816;33R;31;R;16000;1.120;1966;0;0;32;peninsula
CA184931L0274;1849;31L;274;L;19200;2.837;1966;12;27;32;peninsula
CA181633R0158;1816;33R;158;R;16000;1.120;1966;0;0;32;peninsula
CA183532V0094;1835;32V;94;V;20500;3.598;1966;11;28;32;peninsula
CA196232V0007;1962;32V;7;V;26000;251.517;1967;1;7;32;peninsula
CA181033R0136;1810;33R;136;R;18000;1.071;1966;0;0;32;peninsula
CA196333R0062;1963;33R;62;R;26000;1.051;1967;1;7;32;peninsula
CA182432V0063;1824;32V;63;V;20500;1.798;1966;11;25;32;peninsula
CA180031L0020;1800;31L;20;L;;2.925;1966;0;0;32;peninsula
CA216031L0023;2160;31L;23;L;;1.096;1969;1;8;32;peninsula
CA216431L0223;2164;31L;223;L;;1.121;1969;1;12;32;peninsula
CA183233R0042;1832;33R;42;R;20360;2.841;1966;12;18;32;peninsula
CA183531L0018;1835;31L;18;L;20500;3.598;1966;11;28;32;peninsula
CA196231L0035;1962;31L;35;L;26000;251.517;1967;1;7;32;peninsula
CA181731L0005;1817;31L;5;L;20700;2.877;1966;0;0;32;peninsula
CA181633R0049;1816;33R;49;R;16000;1.120;1966;0;0;32;peninsula
CA196831L0136;1968;31L;136;L;26000;2.913;1967;1;7;32;peninsula
CA184731L0022;1847;31L;22;L;19200;2.916;1966;12;27;32;peninsula
CA213533R0305;2135;33R;305;R;;1.590;1968;12;20;32;peninsula
CA207331L0059;2073;31L;59;L;;2.870;1967;12;0;32;peninsula
CA213332V0278;2133;32V;278;V;;2.853;1968;12;20;32;peninsula
CA182431L0021;1824;31L;21;L;20500;1.798;1966;11;25;32;peninsula
CA183433R0014;1834;33R;14;R;20500;3.586;1966;11;28;32;peninsula
CA180332V0181;1803;32V;181;V;;1.084;1966;0;0;32;peninsula
CA182231L0091;1822;31L;91;L;20500;1.810;1966;11;23;32;peninsula
CA182731L0030;1827;31L;30;L;20380;2.934;1966;12;18;32;peninsula
CA184533R0225;1845;33R;225;R;19200;2.909;1966;12;27;32;peninsula
CA184633R0336;1846;33R;336;R;19200;1.111;1966;12;27;32;peninsula
CA181833R0011;1818;33R;11;R;20700;1.109;1966;0;0;32;peninsula
CA212131L0055;2121;31L;55;L;;2.908;1968;11;23;32;peninsula
CA182332V0016;1823;32V;16;V;20000;0.3139;1966;11;25;32;peninsula
CA181632V0091;1816;32V;91;V;16000;1.120;1966;0;0;32;peninsula
CA180132V0106;1801;32V;106;V;;1.139;1966;0;0;32;peninsula
CA207331L0128;2073;31L;128;L;;2.870;1967;12;0;32;peninsula
CA207431L0167;2074;31L;167;L;;1.033;1967;12;0;32;peninsula
CA182133R0123;1821;33R;123;R;16000;2.849;1966;11;18;32;peninsula
CA181831L0047;1818;31L;47;L;20700;1.109;1966;0;0;32;peninsula
CA216132V0073;2161;32V;73;V;;2.909;1969;1;8;32;peninsula
CA184333R0046;1843;33R;46;R;19200;1.108;1966;12;27;32;peninsula
CA183333R0156;1833;33R;156;R;20380;1.110;1966;12;18;32;peninsula
CA180533R0043;1805;33R;43;R;;1.048;1966;0;0;32;peninsula
CA184433R0138;1844;33R;138;R;19200;1.122;1966;12;27;32;peninsula
CA184933R0238;1849;33R;238;R;19200;2.837;1966;12;27;32;peninsula
CA182331L0103;1823;31L;103;L;20000;0.3139;1966;11;25;32;peninsula
CA164432V0058;1644;32V;58;V;25000;2.058;1965;2;18;32;peninsula
CA164432V0070;1644;32V;70;V;25000;2.058;1965;2;18;32;peninsula
CA164432V0052;1644;32V;52;V;25000;2.058;1965;2;18;32;peninsula
CA182531L0068;1825;31L;68;L;20380;2.925;1966;12;18;32;peninsula
CA181531L0052;1815;31L;52;L;23300;1.121;1966;0;0;32;peninsula
CA207432V0156;2074;32V;156;V;;1.033;1967;12;0;32;peninsula
CA207332V0127;2073;32V;127;V;;2.870;1967;12;0;32;peninsula
CA182133R0041;1821;33R;41;R;16000;2.849;1966;11;18;32;peninsula
CA174431L0257;1744;31L;257;L;25000;1.115;1966;1;29;32;peninsula
CA216731L0358;2167;31L;358;L;;1.103;1969;1;12;32;peninsula
CA184733R0022;1847;33R;22;R;19200;2.916;1966;12;27;32;peninsula
CA182533R0040;1825;33R;40;R;20380;2.925;1966;12;18;32;peninsula
CA180131L0123;1801;31L;123;L;;1.139;1966;0;0;32;peninsula
CA184932V0188;1849;32V;188;V;19200;2.837;1966;12;27;32;peninsula
CA207431L0170;2074;31L;170;L;;1.033;1967;12;0;32;peninsula
CA183233R0081;1832;33R;81;R;20360;2.841;1966;12;18;32;peninsula
CA182532V0099;1825;32V;99;V;20380;2.925;1966;12;18;32;peninsula
CA183131L0060;1831;31L;60;L;20360;1.038;1966;12;18;32;peninsula
CA174231L0069;1742;31L;69;L;25000;1.125;1966;1;29;32;peninsula
CA180133R0094;1801;33R;94;R;;1.139;1966;0;0;32;peninsula
CA181333R0202;1813;33R;202;R;20000;1.118;1966;0;0;32;peninsula
CA181432V0043;1814;32V;43;V;23300;2.890;1966;0;0;32;peninsula
CA181332V0120;1813;32V;120;V;20000;1.118;1966;0;0;32;peninsula
CA212432V0072;2124;32V;72;V;;984.467;1968;11;23;32;peninsula
CA182133R0077;1821;33R;77;R;16000;2.849;1966;11;18;32;peninsula
CA174331L0238;1743;31L;238;L;25000;2.913;1966;1;29;32;peninsula
CA184832V0172;1848;32V;172;V;19200;1.116;1966;12;27;32;peninsula
CA183532V0001;1835;32V;1;V;20500;3.598;1966;11;28;32;peninsula
CA174433R0257;1744;33R;257;R;25000;1.115;1966;1;29;32;peninsula
CA214231L0180;2142;31L;180;L;;2.967;1968;12;23;32;peninsula
CA184633R0345;1846;33R;345;R;19200;1.111;1966;12;27;32;peninsula
CA181432V0034;1814;32V;34;V;23300;2.890;1966;0;0;32;peninsula
CA180132V0081;1801;32V;81;V;;1.139;1966;0;0;32;peninsula
CA180533R0028;1805;33R;28;R;;1.048;1966;0;0;32;peninsula
CA207431L0166;2074;31L;166;L;;1.033;1967;12;0;32;peninsula
CA182231L0114;1822;31L;114;L;20500;1.810;1966;11;23;32;peninsula
CA213533R0298;2135;33R;298;R;;1.590;1968;12;20;32;peninsula
CA184631L0305;1846;31L;305;L;19200;1.111;1966;12;27;32;peninsula
CA180231L0169;1802;31L;169;L;;2.893;1966;0;0;32;peninsula
CA184332V0060;1843;32V;60;V;19200;1.108;1966;12;27;32;peninsula
CA182731L0039;1827;31L;39;L;20380;2.934;1966;12;18;32;peninsula
CA212133R0081;2121;33R;81;R;;2.908;1968;11;23;32;peninsula
CA207532V0302;2075;32V;302;V;;2.799;1967;12;0;32;peninsula
CA181631L0055;1816;31L;55;L;16000;1.120;1966;0;0;32;peninsula
CA184832V0136;1848;32V;136;V;19200;1.116;1966;12;27;32;peninsula
CA216731L0348;2167;31L;348;L;;1.103;1969;1;12;32;peninsula
CA174332V0227;1743;32V;227;V;25000;2.913;1966;1;29;32;peninsula
CA184531L0237;1845;31L;237;L;19200;2.909;1966;12;27;32;peninsula
CA182432V0036;1824;32V;36;V;20500;1.798;1966;11;25;32;peninsula
CA183332V0017;1833;32V;17;V;20380;1.110;1966;12;18;32;peninsula
CA180333R0174;1803;33R;174;R;;1.084;1966;0;0;32;peninsula
CA184331L0018;1843;31L;18;L;19200;1.108;1966;12;27;32;peninsula
CA182333R0036;1823;33R;36;R;20000;0.3139;1966;11;25;32;peninsula
CA182133R0076;1821;33R;76;R;16000;2.849;1966;11;18;32;peninsula
CA184531L0269;1845;31L;269;L;19200;2.909;1966;12;27;32;peninsula
CA181033R0172;1810;33R;172;R;18000;1.071;1966;0;0;32;peninsula
CA214231L0153;2142;31L;153;L;;2.967;1968;12;23;32;peninsula
CA181632V0017;1816;32V;17;V;16000;1.120;1966;0;0;32;peninsula
CA183231L0015;1832;31L;15;L;20360;2.841;1966;12;18;32;peninsula
CA182331L0092;1823;31L;92;L;20000;0.3139;1966;11;25;32;peninsula
CA184931L0243;1849;31L;243;L;19200;2.837;1966;12;27;32;peninsula
CA181331L0203;1813;31L;203;L;20000;1.118;1966;0;0;32;peninsula
CA182231L0069;1822;31L;69;L;20500;1.810;1966;11;23;32;peninsula
CA184431L0184;1844;31L;184;L;19200;1.122;1966;12;27;32;peninsula
CA212131L0073;2121;31L;73;L;;2.908;1968;11;23;32;peninsula
CA183333R0061;1833;33R;61;R;20380;1.110;1966;12;18;32;peninsula
CA180032V0063;1800;32V;63;V;;2.925;1966;0;0;32;peninsula
CA184832V0171;1848;32V;171;V;19200;1.116;1966;12;27;32;peninsula
CA207433R0157;2074;33R;157;R;;1.033;1967;12;0;32;peninsula
CA183331L0049;1833;31L;49;L;20380;1.110;1966;12;18;32;peninsula
CA182132V0115;1821;32V;115;V;16000;2.849;1966;11;18;32;peninsula
CA183032V0005;1830;32V;5;V;23300;1.029;1966;0;0;32;peninsula
CA184833R0117;1848;33R;117;R;19200;1.116;1966;12;27;32;peninsula
CA214232V0129;2142;32V;129;V;;2.967;1968;12;23;32;peninsula
CA184331L0068;1843;31L;68;L;19200;1.108;1966;12;27;32;peninsula
CA183332V0092;1833;32V;92;V;20380;1.110;1966;12;18;32;peninsula
CA207531L0357;2075;31L;357;L;;2.799;1967;12;0;32;peninsula
CA184432V0128;1844;32V;128;V;19200;1.122;1966;12;27;32;peninsula
CA207433R0210;2074;33R;210;R;;1.033;1967;12;0;32;peninsula
CA207331L0107;2073;31L;107;L;;2.870;1967;12;0;32;peninsula
CA183331L0005;1833;31L;5;L;20380;1.110;1966;12;18;32;peninsula
CA181533R0016;1815;33R;16;R;23300;1.121;1966;0;0;32;peninsula
CA216632V0280;2166;32V;280;V;;1.117;1969;1;12;32;peninsula
CA184633R0298;1846;33R;298;R;19200;1.111;1966;12;27;32;peninsula
CA182333R0099;1823;33R;99;R;20000;0.3139;1966;11;25;32;peninsula
CA184633R0334;1846;33R;334;R;19200;1.111;1966;12;27;32;peninsula
CA212133R0035;2121;33R;35;R;;2.908;1968;11;23;32;peninsula
CA181632V0178;1816;32V;178;V;16000;1.120;1966;0;0;32;peninsula
CA174331L0248;1743;31L;248;L;25000;2.913;1966;1;29;32;peninsula
CA183133R0058;1831;33R;58;R;20360;1.038;1966;12;18;32;peninsula
CA183033R0042;1830;33R;42;R;23300;1.029;1966;0;0;32;peninsula
CA184333R0024;1843;33R;24;R;19200;1.108;1966;12;27;32;peninsula
CA214232V0159;2142;32V;159;V;;2.967;1968;12;23;32;peninsula
CA180031L0038;1800;31L;38;L;;2.925;1966;0;0;32;peninsula
CA182333R0074;1823;33R;74;R;20000;0.3139;1966;11;25;32;peninsula
CA181333R0132;1813;33R;132;R;20000;1.118;1966;0;0;32;peninsula
CA182232V0024;1822;32V;24;V;20500;1.810;1966;11;23;32;peninsula
CA214233R0136;2142;33R;136;R;;2.967;1968;12;23;32;peninsula
CA180033R0026;1800;33R;26;R;;2.925;1966;0;0;32;peninsula
CA183132V0040;1831;32V;40;V;20360;1.038;1966;12;18;32;peninsula
CA181833R0059;1818;33R;59;R;20700;1.109;1966;0;0;32;peninsula
CA183532V0067;1835;32V;67;V;20500;3.598;1966;11;28;32;peninsula
CA196731L0106;1967;31L;106;L;26000;1.079;1967;1;7;32;peninsula
CA184931L0259;1849;31L;259;L;19200;2.837;1966;12;27;32;peninsula
CA180533R0045;1805;33R;45;R;;1.048;1966;0;0;32;peninsula
CA183233R0031;1832;33R;31;R;20360;2.841;1966;12;18;32;peninsula
CA182931L0022;1829;31L;22;L;20150;2.851;1966;12;18;32;peninsula
CA182433R0009;1824;33R;9;R;20500;1.798;1966;11;25;32;peninsula
CA181433R0037;1814;33R;37;R;23300;2.890;1966;0;0;32;peninsula
CA181831L0017;1818;31L;17;L;20700;1.109;1966;0;0;32;peninsula
CA180731L0013;1807;31L;13;L;20000;2.870;1966;0;0;32;peninsula
CA196231L0048;1962;31L;48;L;26000;251.517;1967;1;7;32;peninsula
CA207531L0360;2075;31L;360;L;;2.799;1967;12;0;32;peninsula
CA216432V0185;2164;32V;185;V;;1.121;1969;1;12;32;peninsula
CA212132V0082;2121;32V;82;V;;2.908;1968;11;23;32;peninsula
CA207333R0078;2073;33R;78;R;;2.870;1967;12;0;32;peninsula
CA183232V0004;1832;32V;4;V;20360;2.841;1966;12;18;32;peninsula
CA164431L0027;1644;31L;27;L;25000;2.058;1965;2;18;32;peninsula
CA174231L0077;1742;31L;77;L;25000;1.125;1966;1;29;32;peninsula
CA183533R0058;1835;33R;58;R;20500;3.598;1966;11;28;32;peninsula
CA180133R0123;1801;33R;123;R;;1.139;1966;0;0;32;peninsula
CA182133R0167;1821;33R;167;R;16000;2.849;1966;11;18;32;peninsula
CA184332V0080;1843;32V;80;V;19200;1.108;1966;12;27;32;peninsula
CA181331L0167;1813;31L;167;L;20000;1.118;1966;0;0;32;peninsula
CA180533R0029;1805;33R;29;R;;1.048;1966;0;0;32;peninsula
CA207533R0282;2075;33R;282;R;;2.799;1967;12;0;32;peninsula
CA196231L0029;1962;31L;29;L;26000;251.517;1967;1;7;32;peninsula
CA196733R0073;1967;33R;73;R;26000;1.079;1967;1;7;32;peninsula
CA183032V0053;1830;32V;53;V;23300;1.029;1966;0;0;32;peninsula
CA183533R0025;1835;33R;25;R;20500;3.598;1966;11;28;32;peninsula
CA182131L0044;1821;31L;44;L;16000;2.849;1966;11;18;32;peninsula
CA183331L0102;1833;31L;102;L;20380;1.110;1966;12;18;32;peninsula
CA196632V0040;1966;32V;40;V;26000;2.899;1967;1;7;32;peninsula
CA181732V0007;1817;32V;7;V;20700;2.877;1966;0;0;32;peninsula
CA182433R0109;1824;33R;109;R;20500;1.798;1966;11;25;32;peninsula
CA181633R0072;1816;33R;72;R;16000;1.120;1966;0;0;32;peninsula
CA184531L0256;1845;31L;256;L;19200;2.909;1966;12;27;32;peninsula
CA180931L0099;1809;31L;99;L;20000;2.926;1966;0;0;32;peninsula
CA180632V0127;1806;32V;127;V;;2.883;1966;0;0;32;peninsula
CA182131L0150;1821;31L;150;L;16000;2.849;1966;11;18;32;peninsula
CA183532V0085;1835;32V;85;V;20500;3.598;1966;11;28;32;peninsula
CA181632V0159;1816;32V;159;V;16000;1.120;1966;0;0;32;peninsula
CA214233R0196;2142;33R;196;R;;2.967;1968;12;23;32;peninsula
CA183033R0024;1830;33R;24;R;23300;1.029;1966;0;0;32;peninsula
CA180733R0031;1807;33R;31;R;20000;2.870;1966;0;0;32;peninsula
CA182233R0033;1822;33R;33;R;20500;1.810;1966;11;23;32;peninsula
CA216733R0369;2167;33R;369;R;;1.103;1969;1;12;32;peninsula
CA180131L0151;1801;31L;151;L;;1.139;1966;0;0;32;peninsula
CA180533R0022;1805;33R;22;R;;1.048;1966;0;0;32;peninsula
CA182332V0038;1823;32V;38;V;20000;0.3139;1966;11;25;32;peninsula
CA183532V0074;1835;32V;74;V;20500;3.598;1966;11;28;32;peninsula
CA214133R0109;2141;33R;109;R;;1.162;1968;12;23;32;peninsula
CA182633R0122;1826;33R;122;R;20380;1.133;1966;12;18;32;peninsula
CA182231L0045;1822;31L;45;L;20500;1.810;1966;11;23;32;peninsula
CA182532V0048;1825;32V;48;V;20380;2.925;1966;12;18;32;peninsula
CA181032V0126;1810;32V;126;V;18000;1.071;1966;0;0;32;peninsula
CA181331L0121;1813;31L;121;L;20000;1.118;1966;0;0;32;peninsula
CA216433R0221;2164;33R;221;R;;1.121;1969;1;12;32;peninsula
CA183231L0059;1832;31L;59;L;20360;2.841;1966;12;18;32;peninsula
CA184933R0272;1849;33R;272;R;19200;2.837;1966;12;27;32;peninsula
CA184833R0125;1848;33R;125;R;19200;1.116;1966;12;27;32;peninsula
CA183432V0037;1834;32V;37;V;20500;3.586;1966;11;28;32;peninsula
CA187631L0119;1876;31L;119;L;25000;1.140;1966;11;22;32;peninsula
CA183432V0029;1834;32V;29;V;20500;3.586;1966;11;28;32;peninsula
CA207433R0147;2074;33R;147;R;;1.033;1967;12;0;32;peninsula
CA196633R0028;1966;33R;28;R;26000;2.899;1967;1;7;32;peninsula
CA181431L0040;1814;31L;40;L;23300;2.890;1966;0;0;32;peninsula
CA182733R0047;1827;33R;47;R;20380;2.934;1966;12;18;32;peninsula
CA214231L0175;2142;31L;175;L;;2.967;1968;12;23;32;peninsula
CA184933R0210;1849;33R;210;R;19200;2.837;1966;12;27;32;peninsula
CA182331L0100;1823;31L;100;L;20000;0.3139;1966;11;25;32;peninsula
CA207431L0205;2074;31L;205;L;;1.033;1967;12;0;32;peninsula
CA181433R0002;1814;33R;2;R;23300;2.890;1966;0;0;32;peninsula
CA214233R0161;2142;33R;161;R;;2.967;1968;12;23;32;peninsula
CA183332V0032;1833;32V;32;V;20380;1.110;1966;12;18;32;peninsula
CA216033R0031;2160;33R;31;R;;1.096;1969;1;8;32;peninsula
CA184632V0280;1846;32V;280;V;19200;1.111;1966;12;27;32;peninsula
CA181431L0021;1814;31L;21;L;23300;2.890;1966;0;0;32;peninsula
CA182731L0015;1827;31L;15;L;20380;2.934;1966;12;18;32;peninsula
CA196232V0009;1962;32V;9;V;26000;251.517;1967;1;7;32;peninsula
CA182431L0084;1824;31L;84;L;20500;1.798;1966;11;25;32;peninsula
CA207431L0191;2074;31L;191;L;;1.033;1967;12;0;32;peninsula
CA184832V0103;1848;32V;103;V;19200;1.116;1966;12;27;32;peninsula
CA183033R0021;1830;33R;21;R;23300;1.029;1966;0;0;32;peninsula
CA216332V0157;2163;32V;157;V;;2.897;1968;0;0;32;peninsula
CA216532V0265;2165;32V;265;V;;2.883;1969;1;12;32;peninsula
CA184933R0233;1849;33R;233;R;19200;2.837;1966;12;27;32;peninsula
CA196933R0176;1969;33R;176;R;26000;1.111;1967;1;7;32;peninsula
CA182132V0012;1821;32V;12;V;16000;2.849;1966;11;18;32;peninsula
